PFAM_NAME	PFAM_ACC	PFAM_DESC	IS_DUF
6TM_1st_PGAP2IP	PF23022	PGAP2IP, first transmembrane domain	0
6TM_2nd_PGAP2IP	PF23021	PGAP2IP, second transmembrane domain	0
6TM_PilS	PF25323	PilS-like transmembrane domain	0
7kD_DNA_binding	PF02294	7kD DNA-binding domain	0
7TM-7TMR_HD	PF07698	7TM receptor with intracellular HD hydrolase	0
7TMR-DISMED2	PF07696	7TMR-DISM extracellular 2	0
7TMR-DISM_7TM	PF07695	7TM diverse intracellular signalling	0
7TMR-HDED	PF07697	7TM-HD extracellular	0
7tm_1	PF00001	7 transmembrane receptor (rhodopsin family)	0
7tm_2	PF00002	7 transmembrane receptor (Secretin family)	0
7tm_3	PF00003	7 transmembrane sweet-taste receptor of 3 GCPR	0
7tm_4	PF13853	Olfactory receptor	0
7tm_6	PF02949	7tm Odorant receptor	0
7tm_7	PF08395	7tm Chemosensory receptor	0
7TM_GPCR_Sra	PF02117	Serpentine type 7TM GPCR chemoreceptor Sra	0
7TM_GPCR_Srab	PF10292	Serpentine type 7TM GPCR receptor class ab chemoreceptor	0
7TM_GPCR_Srb	PF02175	Serpentine type 7TM GPCR chemoreceptor Srb	0
7TM_GPCR_Srbc	PF10316	Serpentine type 7TM GPCR chemoreceptor Srbc	0
7TM_GPCR_Srd	PF10317	Serpentine type 7TM GPCR chemoreceptor Srd	0
7TM_GPCR_Srh	PF10318	Serpentine type 7TM GPCR chemoreceptor Srh	0
7TM_GPCR_Sri	PF10327	Serpentine type 7TM GPCR chemoreceptor Sri	0
7TM_GPCR_Srj	PF10319	Serpentine type 7TM GPCR chemoreceptor Srj	0
7TM_GPCR_Srsx	PF10320	Serpentine type 7TM GPCR chemoreceptor Srsx	0
7TM_GPCR_Srt	PF10321	Serpentine type 7TM GPCR chemoreceptor Srt	0
7TM_GPCR_Sru	PF10322	Serpentine type 7TM GPCR chemoreceptor Sru	0
7TM_GPCR_Srv	PF10323	Serpentine type 7TM GPCR chemoreceptor Srv	0
7TM_GPCR_Srw	PF10324	Serpentine type 7TM GPCR chemoreceptor Srw	0
7TM_GPCR_Srx	PF10328	Serpentine type 7TM GPCR chemoreceptor Srx	0
7TM_GPCR_Srz	PF10325	Serpentine type 7TM GPCR chemoreceptor Srz	0
7TM_GPCR_Str	PF10326	Serpentine type 7TM GPCR chemoreceptor Str	0
7TM_transglut	PF14402	7 transmembrane helices usually fused to an inactive transglutaminase	0
8TM_micro	PF17028	8TM Microsporidial transmembrane domain	0
8xMP	PF24838	Octameric membrane protein family (8xMP)	0
A-2_8-polyST	PF07388	Alpha-2,8-polysialyltransferase (POLYST)	0
A-ATP_synth_H_N	PF21585	Archaeal A-ATP synthase, subunit H, N-terminal	0
A-sol_ELP1	PF23925	ELP1 alpha-solenoid	0
A1_Propeptide	PF07966	A1 Propeptide	0
A24_N_bact	PF06750	Bacterial Peptidase A24 N-terminal domain	0
A2L_zn_ribbon	PF08792	A2L zinc ribbon domain	0
A2M	PF00207	Alpha-2-macroglobulin family	0
A2M_bMG2	PF21142	Bacterial alpha-2 macroglobulin MG2 domain	0
A2M_BRD	PF07703	Alpha-2-macroglobulin bait region domain	0
A2M_recep	PF07677	A-macroglobulin receptor binding domain	0
A6-like_Thioredoxin-like_C	PF26967	A6-like, Thioredoxin-like, C-terminal domain	0
A9CJY8-like_N	PF21631	A9CJY8-like, N-terminal domain	0
Aa-Ago_N	PF22430	Ago, N-terminal domain	0
AA9	PF03443	Auxiliary Activity family 9 (formerly GH61)	0
AAA	PF00004	ATPase family associated with various cellular activities (AAA)	0
AAA-ATPase_like	PF09820	Predicted AAA-ATPase	0
AAA_10	PF12846	AAA-like domain	0
AAA_11	PF13086	AAA domain	0
AAA_12	PF13087	AAA domain	0
AAA_13	PF13166	AAA domain	0
AAA_14	PF13173	AAA domain	0
AAA_15	PF13175	AAA ATPase domain	0
AAA_16	PF13191	AAA ATPase domain	0
AAA_17	PF13207	AAA domain	0
AAA_18	PF13238	AAA domain	0
AAA_19	PF13245	AAA domain	0
AAA_2	PF07724	AAA domain (Cdc48 subfamily)	0
AAA_21	PF13304	AAA domain, putative AbiEii toxin, Type IV TA system	0
AAA_22	PF13401	AAA domain	0
AAA_23	PF13476	AAA domain	0
AAA_24	PF13479	AAA domain	0
AAA_25	PF13481	AAA domain	0
AAA_26	PF13500	AAA domain	0
AAA_27	PF13514	AAA domain	0
AAA_28	PF13521	AAA domain	0
AAA_29	PF13555	P-loop containing region of AAA domain	0
AAA_3	PF07726	ATPase family associated with various cellular activities (AAA)	0
AAA_30	PF13604	AAA domain	0
AAA_31	PF13614	AAA domain	0
AAA_32	PF13654	LonB-like, AAA domain	0
AAA_33	PF13671	AAA domain	0
AAA_34	PF13872	P-loop containing NTP hydrolase pore-1	0
AAA_35	PF14516	AAA-like domain	0
AAA_5	PF07728	AAA domain (dynein-related subfamily)	0
AAA_6	PF12774	Hydrolytic ATP binding site of dynein motor region	0
AAA_7	PF12775	P-loop containing dynein motor region	0
AAA_8	PF12780	P-loop containing dynein motor region D4	0
AAA_9	PF12781	ATP-binding dynein motor region	0
AAA_assoc	PF14363	Domain associated at C-terminal with AAA	0
AAA_assoc_2	PF16193	AAA C-terminal domain	0
AAA_assoc_C	PF09821	C-terminal AAA-associated domain	0
AAA_lid_1	PF17857	AAA+ lid domain	0
